id,ts,market,contract_type,algorithm,signal,stake,entry_price,exit_price,pnl,result,balance_after,contract_id,duration_ticks,notes
545,2026-04-03T05:00:40.585995,R_10,MULTUP,Overextended (Z=-2.49),UP,1.0,5084.41,,,CANCELLED,,,,"Multiplier is not in acceptable range. Accepts 400,1000,2000,3000,4000."
544,2026-04-03T05:00:38.512687,R_10,MULTUP,Overextended (Z=-2.63),UP,1.0,5084.462,,,CANCELLED,,,,"Multiplier is not in acceptable range. Accepts 400,1000,2000,3000,4000."
543,2026-04-03T04:59:46.500086,R_10,MULTDOWN,Overextended (Z=2.26),DOWN,1.0,5085.418,,,,,,,
542,2026-04-03T04:59:06.522227,R_10,MULTUP,Overextended (Z=-2.23),UP,1.0,5085.135,,,CANCELLED,,,,Request 15 (proposal) timed out
541,2026-04-03T04:58:28.565466,R_10,MULTUP,Overextended (Z=-2.62),UP,1.0,5085.433,,,CANCELLED,,,,Request 14 (proposal) timed out
540,2026-04-03T04:57:43.740762,R_10,MULTDOWN,Overextended (Z=2.29),DOWN,1.0,5085.2,,,CANCELLED,,,,Request 13 (proposal) timed out
539,2026-04-03T04:57:18.678741,R_10,MULTDOWN,Overextended (Z=2.22),DOWN,1.0,5085.06,,,CANCELLED,,,,Request 12 (proposal) timed out
538,2026-04-03T04:56:53.600310,R_10,MULTDOWN,Overextended (Z=2.38),DOWN,1.0,5084.854,,,CANCELLED,,,,Request 11 (proposal) timed out
537,2026-04-03T04:56:28.524633,R_10,MULTDOWN,Overextended (Z=2.55),DOWN,1.0,5084.801,,,CANCELLED,,,,Request 9 (proposal) timed out
536,2026-04-03T04:54:50.340414,R_10,MULTUP,Overextended (Z=-2.46),UP,1.0,5083.362,,,,,,,
535,2026-04-03T04:54:04.450742,R_10,MULTUP,Overextended (Z=-2.21),UP,1.0,5083.572,,,,,,,
534,2026-04-03T04:52:26.550350,R_10,MULTDOWN,Overextended (Z=2.91),DOWN,1.0,5085.075,,,,,,,
533,2026-04-03T04:50:26.401679,R_10,MULTDOWN,Overextended (Z=2.24),DOWN,1.0,5085.31,,,,,,,
532,2026-04-03T04:49:34.389241,R_10,MULTUP,Overextended (Z=-2.36),UP,1.0,5084.426,,,,,,,
531,2026-04-03T03:49:23.391922,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.68,,,,,,,
530,2026-04-03T03:49:23.365897,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.45,,,,,,,
529,2026-04-03T03:49:23.340034,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.83,,,,,,,
528,2026-04-03T03:49:23.320778,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9786.0,,,,,,,
527,2026-04-03T03:49:23.289719,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9784.96,,,,,,,
526,2026-04-03T03:49:23.231841,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9787.23,,,,,,,
525,2026-04-03T03:49:23.205766,1HZ10V,ACCU,Calm for 8+ ticks (post-spike) | ATR=0.62700,None,1.0,9785.38,,,,,,,
524,2026-04-03T03:49:23.168003,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.53,,,,,,,
523,2026-04-03T03:49:23.137098,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.02,,,,,,,
522,2026-04-03T03:49:23.102783,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.4,,,,,,,
521,2026-04-03T03:49:03.279129,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.29,,,CANCELLED,,,,Request 100 timed out
520,2026-04-03T03:49:03.267836,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.54,,,CANCELLED,,,,Request 99 timed out
519,2026-04-03T03:49:03.259378,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 4.0% (expected 10%),4,1.0,9785.62,,,CANCELLED,,,,Request 98 timed out
518,2026-04-03T03:49:03.240496,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 4.0% (expected 10%),4,1.0,9786.06,,,CANCELLED,,,,Request 97 timed out
517,2026-04-03T03:49:03.214132,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 4.0% (expected 10%),4,1.0,9785.4,,,CANCELLED,,,,Request 96 timed out
516,2026-04-03T03:49:03.180570,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 4.0% (expected 10%),4,1.0,9787.45,,,CANCELLED,,,,Request 95 timed out
515,2026-04-03T03:49:03.122496,1HZ10V,ACCU,Calm for 8+ ticks (post-spike) | ATR=0.62400,None,1.0,9785.43,,,CANCELLED,,,,Request 94 timed out
514,2026-04-03T03:49:03.108384,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 4.0% (expected 10%),4,1.0,9785.01,,,CANCELLED,,,,Request 93 timed out
513,2026-04-03T03:49:03.057163,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 4.0% (expected 10%),4,1.0,9784.96,,,CANCELLED,,,,Request 92 timed out
512,2026-04-03T03:49:03.037433,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.3,,,CANCELLED,,,,Request 91 timed out
511,2026-04-03T03:48:58.268987,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.25,,,CANCELLED,,,,WebSocket is not connected
510,2026-04-03T03:48:58.255753,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.62,,,CANCELLED,,,,WebSocket is not connected
509,2026-04-03T03:48:58.237430,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.52,,,CANCELLED,,,,WebSocket is not connected
508,2026-04-03T03:48:58.209415,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.59,,,CANCELLED,,,,WebSocket is not connected
507,2026-04-03T03:48:58.175564,1HZ10V,DIGITMATCH,Digit 4 underrepresented at 5.0% (expected 10%),4,1.0,9785.35,,,CANCELLED,,,,WebSocket is not connected
506,2026-04-03T03:48:58.151565,1HZ10V,DIGITMATCH,Digit 9 underrepresented at 5.0% (expected 10%),9,1.0,9787.46,,,CANCELLED,,,,WebSocket is not connected
505,2026-04-03T03:48:58.109902,1HZ10V,ACCU,Calm for 8+ ticks (post-spike) | ATR=0.68250,None,1.0,9785.32,,,CANCELLED,,,,WebSocket is not connected
504,2026-04-03T03:48:58.094259,1HZ10V,DIGITMATCH,Digit 9 underrepresented at 5.0% (expected 10%),9,1.0,9785.03,,,CANCELLED,,,,WebSocket is not connected
503,2026-04-03T03:48:58.045345,1HZ10V,DIGITMATCH,Digit 9 underrepresented at 5.0% (expected 10%),9,1.0,9785.21,,,CANCELLED,,,,WebSocket is not connected
502,2026-04-03T03:48:58.025741,1HZ10V,DIGITMATCH,Digit 9 underrepresented at 5.0% (expected 10%),9,1.0,9785.21,,,CANCELLED,,,,WebSocket is not connected
501,2026-04-03T03:48:58.006122,1HZ10V,DIGITMATCH,Digit 9 underrepresented at 5.0% (expected 10%),9,1.0,9785.42,,,CANCELLED,,,,WebSocket is not connected
500,2026-04-03T03:48:57.980149,1HZ10V,DIGITMATCH,Digit 9 underrepresented at 5.0% (expected 10%),9,1.0,9786.08,,,CANCELLED,,,,WebSocket is not connected
499,2026-04-03T03:48:57.952490,1HZ10V,DIGITMATCH,Digit 9 underrepresented at 5.0% (expected 10%),9,1.0,9785.65,,,CANCELLED,,,,WebSocket is not connected
498,2026-04-03T03:48:57.935965,1HZ10V,DIGITMATCH,Digit 9 underrepresented at 5.0% (expected 10%),9,1.0,9785.45,,,CANCELLED,,,,WebSocket is not connected
497,2026-04-03T03:48:57.908633,1HZ10V,DIGITMATCH,Digit 9 underrepresented at 5.0% (expected 10%),9,1.0,9785.34,,,CANCELLED,,,,WebSocket is not connected
496,2026-04-03T03:48:57.877965,1HZ10V,DIGITMATCH,Digit 9 underrepresented at 5.0% (expected 10%),9,1.0,9787.59,,,CANCELLED,,,,WebSocket is not connected
495,2026-04-03T03:48:57.844648,1HZ10V,DIGITMATCH,Digit 9 underrepresented at 4.0% (expected 10%),9,1.0,9785.33,,,CANCELLED,,,,WebSocket is not connected
